,A,B
0,28714976,25743456
1,25940428,19119179
2,29059683,25753093
3,28443625,28276649
4,25849179,27798498
5,25751625,25227934
6,29446198,29355244
7,27459855,19096787
8,29915430,19448080
9,24943594,19756298
10,25217961,19406249
11,26760213,19267337
12,24272484,30084059
13,27053251,25269671
14,27269943,26077786
15,28430825,25645971
16,26976201,26758784
17,30108311,28704657
18,28609654,19903924
19,28869590,28611825
20,28373689,19628433
21,27697780,29389517
22,24493713,30390740
23,27626380,25912659
24,24553142,19800208
25,25205108,19959097
26,29502561,25123743
27,24584071,24560508
28,28394352,25034154
29,25207766,25574501
30,27762356,28118502
31,29279374,29704208
32,28391526,24939751
33,26829751,19630762
34,26950095,24766802
35,27899602,30055194
36,26829319,28059951
37,26821629,28057789
38,26965516,19221160
39,27708008,29227298
40,29474906,27502786
41,26848776,28936115
42,26239294,19608990
43,24960519,30192635
44,19561596,28300304
45,28439101,25908810
46,29100090,19220600
47,29622464,28641097
48,28535802,26424644
49,29625052,27173930
