,0
0,"Zhong, S"
1,"Lee, KK"
2,"Harris, RA"
3,"Smith, MR"
4,"Wong, PC"
5,"Cai, Q"
6,"Lee, B"
7,"Waters, CM"
8,"Rubenstein, JL"
9,"Yeates, TO"
10,"Wiebe, DJ"
11,"Fan, J"
12,"Xing, L"
13,"Curtis, JR"
14,"Gan, L"
15,"Cameron, CE"
16,"Xing, Y"
17,"Young, SL"
18,"Liu, N"
19,"Carroll, TJ"
20,"Russell, DW"
21,"Ressler, KJ"
22,"Bailey, RC"
23,"Tang, W"
24,"Cheng, CY"
25,"Walsh, MJ"
26,"Bhatt, RS"
27,"Smith, MT"
28,"Smith, GS"
29,"Wu, D"
30,"Cao, L"
31,"Yan, Z"
32,"Lee, D"
33,"Kaplan, DL"
34,"Khan, IA"
35,"Ding, L"
36,"Montaner, JS"
37,"Tang, D"
38,"Min, W"
39,"Khan, SA"
40,"Paul, A"
41,"Cui, J"
42,"Sah, R"
43,"Feng, H"
44,"Russell, SJ"
45,"Dai, G"
46,"Bose, S"
47,"Fan, H"
48,"He, J"
49,"Tu, Y"
50,"Miyamoto, S"
51,"Smith, JS"
52,"Cheng, L"
53,"Dong, Z"
54,"Hu, Y"
55,"Wang, MD"
56,"Murphy, EA"
57,"Sahin, M"
58,"Yu, EW"
59,"Anderson, AE"
60,"Qin, L"
61,"Fisher, PA"
62,"Kawai, T"
63,"Jones, DL"
64,"Qi, X"
65,"Palczewski, K"
66,"Rice, PA"
67,"Dong, H"
68,"Parthasarathy, S"
69,"Chen, WR"
70,"Qi, L"
71,"Zeng, Y"
72,"Reynolds, CF"
73,"Bishop, DK"
74,"Gupta, S"
75,"Qu, Z"
76,"Chen, Q"
77,"Kim, DH"
78,"Cao, X"
79,"Davis, MM"
80,"Ma, L"
81,"Anderson, DJ"
82,"Liu, T"
83,"Chen, T"
84,"Zhou, W"
85,"Chen, P"
86,"Sen, S"
87,"Gao, X"
88,"Hu, Z"
89,"Zheng, B"
90,"Johnson, ME"
91,"Shen, H"
92,"Yang, P"
93,"Singh, M"
94,"Lin, Q"
95,"Wang, K"
96,"Smith, DM"
97,"Kang, Y"
98,"Wan, Y"
99,"Lu, J"
100,"Yang, C"
101,"Liao, JC"
102,"Carter, CS"
103,"Guo, F"
104,"Dong, C"
105,"Jiang, Y"
106,"Feng, Z"
107,"Ge, Y"
108,"Smith, JD"
109,"Williams, JC"
110,"Choi, Y"
